URL,Last crawled
https://fiat.watch/,2026-06-29
https://fiat.watch/calculation?amount=10000.0&from_year=1980&to_year=2026,2026-06-27
https://fiat.watch/calculation?amount=1000000.0&from_year=1980&to_year=2026,2026-06-27
https://fiat.watch/calculation?amount=1000000.0&from_year=1970&to_year=2026,2026-06-27
https://fiat.watch/calculation?amount=10.0&from_year=1920&to_year=2026,2026-06-26
https://fiat.watch/calculation?amount=1000.0&from_year=2000&to_year=2026,2026-06-26
https://fiat.watch/calculation?amount=100.0&from_year=1970&to_year=2026,2026-06-25
https://fiat.watch/calculation?amount=1000.0&from_year=1990&to_year=2026,2026-06-25
https://fiat.watch/calculation?amount=10000.0&from_year=2000&to_year=2026,2026-06-25
https://fiat.watch/calculation?amount=10000.0&from_year=1970&to_year=2026,2026-06-25
https://fiat.watch/calculation?amount=100000.0&from_year=1920&to_year=2026,2026-06-24
https://fiat.watch/calculation?amount=1000.0&from_year=1980&to_year=2026,2026-06-24
https://fiat.watch/calculation?amount=100.0&from_year=2000&to_year=2026,2026-06-24
https://fiat.watch/calculation?amount=1000000.0&from_year=2010&to_year=2026,2026-06-24
https://fiat.watch/calculation?amount=10.0&from_year=2010&to_year=2026,2026-06-24
https://fiat.watch/calculation?amount=1.0&from_year=1980&to_year=2026,2026-06-23